"","type","text"
"1057","ham","Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :("
"1058","ham","Nice.nice.how is it working?"
"1059","ham","K:)k..its good:)when are you going?"
"1060","ham","East coast"
"1061","ham","He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. u got a lot of work ar?"
"1062","spam","WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3"
"1063","ham","Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
"1064","ham","Happy birthday... May all ur dreams come true..."
"1065","ham","Would really appreciate if you call me. Just need someone to talk to."
"1066","ham","U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today."
"1067","ham","The monthly amount is not that terrible and you will not pay anything till 6months after finishing school."
"1068","ham","Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove."
"1069","ham","If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear & best friends.. GOODEVENING Dear..:)"
"1070","ham","Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?"
"1071","spam","Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ €œ"
"1072","ham","All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
"1073","ham","Ok lar... Joking wif u oni..."
"1074","spam","Would you like to see my XXX pics they are so hot they were nearly banned in the uk!"
"1075","ham","Nah im goin 2 the wrks with j wot bout u?"
"1076","ham","Not really dude, have no friends i'm afraid :("
"1077","ham","K go and sleep well. Take rest:-)."
"1078","ham","A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
"1079","ham","Omg how did u know what I ate?"
"1080","ham","How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
"1081","ham","Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
"1082","ham","I just cooked a rather nice salmon a la you"
"1083","spam","URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
"1084","ham","Mmmm ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*"
"1085","spam","u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
"1086","ham","Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
"1087","ham","I got arrested for possession"
"1088","ham","Anything lor is she coming?"
"1089","ham","Yes its possible but dint try. Pls dont tell to any one k"
"1090","ham","Congrats kano..whr s the treat maga?"
"1091","spam","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
"1092","ham","Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
"1093","ham","Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)"
"1094","ham","Hasn't that been the pattern recently crap weekends?"
"1095","spam","cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
"1096","ham","I was gonna ask you lol but i think its at 7"
"1097","ham","Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it."
"1098","ham","FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
"1099","spam","U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
"1100","ham","Sorry, I can't text & drive coherently, see you in twenty"
"1101","ham","Send to someone else :-)"
"1102","spam","UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
"1103","ham","Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/"
"1104","ham","somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams"
"1105","ham","I'm done. C u there."
"1106","ham","Lol yeah at this point I guess not"
"1107","spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone"
"1108","ham","Lol for real. She told my dad I have cancer"
"1109","spam","URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
"1110","ham","They just talking thats it de. They wont any other."
"1111","ham","Probably a couple hours tops"
"1112","ham","hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx"
"1113","ham","Just finished. Missing you plenty"
"1114","ham","Carlos says we can pick up from him later so yeah we're set"
"1115","ham","Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
"1116","ham","Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
"1117","ham","Eh u send wrongly lar..."
"1118","ham","When u wana see it then"
"1119","ham","How would my ip address test that considering my computer isn't a minecraft server"
"1120","ham","Sorry that was my uncle. I.ll keep in touch"
"1121","ham","Probably earlier than that if the station's where I think it is"
"1122","ham","Yes.mum lookin strong:)"
"1123","ham","Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude"
"1124","ham","U horrible gal... U knew dat i was going out wif him yest n u still come n ask me..."
"1125","ham","Are you driving or training?"
"1126","ham","... we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon "
"1127","ham","Jay says that you're a double-faggot"
"1128","spam","You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!"
"1129","ham","By the way, 'rencontre' is to meet again. Mountains dont...."
"1130","ham","We left already we at orchard now."
"1131","ham","How much it will cost approx . Per month."
"1132","ham","Cool, text me when you're parked"
"1133","ham","I can send you a pic if you like :)"
"1134","ham","Great. Have a safe trip. Dont panic surrender all."
"1135","ham","Enjoy urself tmr..."
"1136","ham","We are okay. Going to sleep now. Later"
"1137","ham","I accidentally brought em home in the box"
"1138","ham","I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him"
"1139","ham","IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx"
"1140","ham","Dear relieved of westonzoyland, all going to plan this end too!"
"1141","ham","Esplanade lor. Where else..."
"1142","spam","Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q"
"1143","ham","I cant pick the phone right now. Pls send a message"
"1144","ham","Haven't left yet so probably gonna be here til dinner"
"1145","ham","The greatest test of courage on earth is to bear defeat without losing heart....gn tc"
"1146","ham","No message..no responce..what happend?"
"1147","ham","Ok... Take ur time n enjoy ur dinner..."
"1148","ham","COME BACK TO TAMPA FFFFUUUUUUU"
"1149","ham","Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)"
"1150","ham","Can you say what happen"
"1151","ham","Mom wants to know where you at"
"1152","ham","Hey r u still online? I've finished the formatting..."
"1153","ham","That's cool he'll be here all night, lemme know when you're around"
"1154","ham","Velly good, yes please!"
"1155","ham","I have printed it oh. So  #  come upstairs"
"1156","ham","Awesome, lemme know whenever you're around"
"1157","ham","Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
"1158","ham","WOT STUDENT DISCOUNT CAN U GET ON BOOKS?"
"1159","ham","Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer."
"1160","ham","Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in..."
"1161","ham","ARE YOU IN TOWN? THIS IS V. IMPORTANT"
"1162","ham","I want to go to perumbavoor"
"1163","spam","Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
"1164","ham","And popping # ibuprofens was no help."
"1165","ham","S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)"
"1166","ham","Can you open the door?"
"1167","ham","I HAVE A DATE ON SUNDAY WITH WILL!!"
"1168","spam","As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062"
"1169","ham","Yo theres no class tmrw right?"
"1170","ham","How come?"
"1171","ham","When can u come out?"
"1172","ham","Shhhhh nobody is supposed to know!"
"1173","spam","Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
"1174","ham","What happen dear. Why you silent. I am tensed"
"1175","ham","I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
"1176","ham","Wat's da model num of ur phone?"
"1177","ham","I luv u soo much u don’t understand how special u r 2 me ring u 2morrow luv u xxx"
"1178","ham","It's wylie, you in tampa or sarasota?"
"1179","spam","todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award"
"1180","ham","LOL ... No just was busy"
"1181","ham","Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol"
"1182","ham","Feel like trying kadeem again? :V"
"1183","ham","Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
"1184","ham","Why do you ask princess?"
"1185","ham","Dunno da next show aft 6 is 850. Toa payoh got 650."
"1186","ham","What makes you most happy?"
"1187","ham","Dear are you angry i was busy dear"
"1188","ham","Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
"1189","spam","08714712388 between 10am-7pm Cost 10p"
"1190","ham","Dai what this da.. Can i send my resume to this id."
"1191","ham","Sir, i am waiting for your call, once free please call me."
"1192","ham","Busy here. Trying to finish for new year. I am looking forward to finally meeting you..."
"1193","ham","Not planned yet :)going to join company on jan 5 only.don know what will happen after that."
"1194","ham","NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!"
"1195","ham","Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx"
"1196","spam","Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&"
"1197","ham","Total disappointment, when I texted you was the craziest stuff got :("
"1198","ham","That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?"
"1199","ham","Okay but i thought you were the expert"
"1200","spam","Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a"
"1201","ham","Hahaha..use your brain dear"
"1202","ham","Hey... What time is your driving on fri? We go for evaluation on fri?"
"1203","spam","You have 1 new voicemail. Please call 08719181513."
"1204","ham","Goodmorning sleeping ga."
"1205","ham","Ok lor... But buy wat?"
"1206","ham","Thank you princess! You are so sexy..."
"1207","ham","S da..al r above  #"
"1208","ham","I was just callin to say hi. Take care bruv!"
"1209","ham","If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
"1210","ham","Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails."
"1211","ham","Serious? What like proper tongued her"
"1212","ham","At 7 we will go ok na."
"1213","ham","How much is blackberry bold2 in nigeria."
"1214","ham","Dear we got  #  dollars hi hi"
"1215","spam","URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
"1216","ham","Beauty sleep can help ur pimples too."
"1217","ham","It's that time of the week again, ryan"
"1218","ham","Why she wants to talk to me"
"1219","ham","I'm vivek:)i got call from your number."
"1220","ham","This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed"
"1221","ham","Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*"
"1222","spam","I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)"
"1223","ham","Yeah we wouldn't leave for an hour at least, how's 4 sound?"
"1224","ham","This phone has the weirdest auto correct."
"1225","ham","How long does it take to get it."
"1226","ham","Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
"1227","ham","Not able to do anything."
"1228","ham","life alle mone,eppolum oru pole allalo"
"1229","ham","K k:) sms chat with me."
"1230","ham","Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering..."
"1231","ham","Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x"
"1232","ham","Ya even those cookies have jelly on them"
"1233","ham","Ok... I din get ur msg..."
"1234","ham","I get out of class in bsn in like  #  minutes, you know where advising is?"
"1235","ham","Can u all decide faster cos my sis going home liao.."
"1236","ham","There're some people by mu, I'm at the table by lambda"
"1237","ham","Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up"
"1238","ham","Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?"
"1239","ham","Yeah sure, give me a couple minutes to track down my wallet"
"1240","ham","Do you know when the result."
"1241","ham","I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me."
"1242","ham","No plans yet. What are you doing ?"
"1243","ham","Great! So what attracts you to the brothas?"
"1244","ham","How much u trying to get?"
"1245","ham","My exam is for february 4. Wish you a great day."
"1246","ham","It could work, we'll reach a consensus at the next meeting"
"1247","ham","Yes but i dont care! I need you bad, princess!"
"1248","ham","Rats. Hey did u ever vote for the next themes?"
"1249","ham","Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com"
"1250","ham","Nice talking to you! please dont forget my pix :) i want to see all of you..."
"1251","ham","ok....take care.umma to you too..."
"1252","spam","Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!"
"1253","ham","Chk in ur belovd ms dict"
"1254","spam","Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309."
"1255","ham","I just got home babe, are you still awake ?"
"1256","ham","Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
"1257","ham","You call him now ok i said call him"
"1258","ham","CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES"
"1259","ham","Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay."
"1260","ham","I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?"
"1261","spam","Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
"1262","ham","You said to me before i went back to bed that you can't sleep for anything."
"1263","ham","Good words.... But words may leave u in dismay many times."
"1264","ham","Wishing you and your family Merry X mas and HAPPY NEW Year in advance.."
"1265","ham","So how are you really. What are you up to. How's the masters. And so on."
"1266","ham","Haha awesome, I've been to 4u a couple times. Who all's coming?"
"1267","spam","New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
"1268","spam","Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days."
"1269","ham","If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number"
"1270","spam","PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04"
"1271","ham","Ok lor."
"1272","ham","Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748"
"1273","ham","Haha get used to driving to usf man, I know a lot of stoners"
"1274","spam","Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
"1275","ham","i want to grasp your pretty booty :)"
"1276","ham","Thats cool. I want to please you..."
"1277","ham","U need my presnts always bcz U cant mis love. jeevithathile irulinae neekunna prakasamanu sneham prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."
"1278","ham","V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)"
"1279","ham","Not sure I have the stomach for it ..."
"1280","spam","If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
"1281","ham","How much is torch in 9ja."
"1282","ham","Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u "
"1283","ham","Tell them no need to investigate about me anywhere."
"1284","spam","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
"1285","ham","Sure but since my parents will be working on Tuesday I don't really need a cover story"
"1286","ham","Hiya, probably coming home * weekend after next"
"1287","spam","INTERFLORA - “It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow."
"1288","ham","Nobody can decide where to eat and dad wants Chinese"
"1289","ham","Dunno he jus say go lido. Same time 930."
"1290","ham","Nope, I'm still in the market"
"1291","ham","Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model."
"1292","ham","Its normally hot mail. Com you see!"
"1293","ham","Hey. You got any mail?"
"1294","ham","# %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  #  frnds in #  mins whn u read..."
"1295","ham","Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!"
"1296","ham","Yeah I can still give you a ride"
"1297","ham","Minimum walk is 3miles a day."
"1298","spam","U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
"1299","ham","I got your back! Do you have any dislikes in bed?"
"1300","ham","Will purchase d stuff today and mail to you. Do you have a po box number?"
"1301","ham","Ok lor..."
"1302","ham","God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!"
"1303","ham","Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!"
"1304","ham","I'm not coming over, do whatever you want"
"1305","ham","I sent your maga that money yesterday oh."
"1306","ham","K, can I pick up another 8th when you're done?"
"1307","ham","Oops. 4 got that bit."
"1308","ham","Cause I'm not freaky lol"
"1309","ham","Hi dude hw r u da realy mising u today"
"1310","spam","3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each"
"1311","ham","Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time "
"1312","ham","Can u look 4 me in da lib i got stuff havent finish yet."
"1313","spam","88066 FROM 88066 LOST 3POUND HELP"
"1314","ham","Stupid.its not possible"
"1315","ham","HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX"
"1316","ham","Ok i shall talk to him"
"1317","ham","Also hi wesley how've you been"
"1318","ham","What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
"1319","spam","Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL"
"1320","ham","I had it already..sabarish asked me to go.."
"1321","ham","ILL B DOWN SOON"
"1322","ham","Customer place i will call you"
"1323","spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599"
"1324","ham","Ok cool. See ya then."
"1325","ham","u predict wat time u'll finish buying?"
"1326","ham","Nothing really, just making sure everybody's up to speed"
"1327","ham","Then cant get da laptop? My matric card wif u lei... "
"1328","ham","Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U... Gud night..swt dreams..take care"
"1329","ham","I'm at work. Please call"
"1330","spam","Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv"
"1331","ham","I like to talk pa but am not able to. I dont know y."
"1332","spam","Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082"
"1333","ham","Hey i'm bored... So i'm thinking of u... So wat r u doing?"
"1334","ham","Teach me apps da. When you come to college."
"1335","ham","No da if you run that it activate the full version da."
"1336","ham","aight we can pick some up, you open before tonight?"
"1337","ham","What happen dear tell me"
"1338","spam","Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx"
"1339","spam","New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
"1340","ham","An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)"
"1341","ham","Dunno lei... I thk mum lazy to go out... I neva ask her yet..."
"1342","ham","S but mostly not like that."
"1343","ham","Send me the new number"
"1344","ham","Ok Chinese food on its way. When I get fat you're paying for my lipo."
"1345","spam","Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!"
"1346","ham","I am on the way to tirupur."
"1347","ham","No go. No openings for that room 'til after thanksgiving without an upcharge."
"1348","ham","Ard 6 like dat lor."
"1349","ham","K.k:)when are you going?"
"1350","ham","Im good! I have been thinking about you..."
"1351","ham","Awesome, text me when you're restocked"
"1352","ham","Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:"
"1353","ham","Get me out of this dump heap. My mom decided to come to lowes. BORING."
"1354","ham","Gr8. So how do you handle the victoria island traffic. Plus when's the album due"
"1355","ham","Are you sure you don't mean get here, we made you hold all the weed"
"1356","ham","All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?"
"1357","ham","I cant pick the phone right now. Pls send a message"
"1358","ham","I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that"
"1359","ham","Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. "
"1360","ham","Yo dude guess who just got arrested the other day"
"1361","ham","Never y lei... I v lazy... Got wat? Dat day u send me da url cant work one..."
"1362","ham","Forgot to tell u smth.. Can u like number the sections so that it's clearer.."
"1363","ham","No problem with the renewal. I.ll do it right away but i dont know his details."
"1364","ham","My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
"1365","ham","Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
"1366","ham","I can do that! I want to please you both inside and outside the bedroom..."
"1367","spam","Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
"1368","ham","You are a big chic. Common. Declare"
"1369","ham","Tell your friends what you plan to do on Valentines day @ URL"
"1370","ham","I'm on da bus going home..."
"1371","ham","Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me."
"1372","spam","Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
"1373","ham","K I'll head out in a few mins, see you there"
"1374","ham","Sure! I am driving but will reach my destination soon."
"1375","ham","Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?"
"1376","ham","I will send them to your email. Do you mind  #  times per night?"
"1377","ham","That sucks. I'll go over so u can do my hair. You'll do it free right?"
"1378","ham","K I'm ready,  # ?"
"1379","ham","Were gonna go get some tacos"
"1380","ham","I've reached sch already..."
"1381","ham","Ok no prob..."
"1382","ham","I think I€˜m waiting for the same bus! Inform me when you get there, if you ever get there."
"1383","ham","Send his number and give reply tomorrow morning for why you said that to him like that ok"
"1384","ham","My uncles in Atlanta. Wish you guys a great semester."
"1385","ham","Appt is at TIME am. Not my fault u don't listen. I told u twice"
"1386","ham","Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:"
"1387","ham","Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning."
"1388","ham","Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE"
"1389","ham","Not a drop in the tank"
"1390","ham","I can make it up there, squeezed  #  bucks out of my dad"
"1391","ham","Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
"1392","ham","I'm leaving my house now."
"1393","ham","Mum ask u to buy food home..."
"1394","ham","Short But Cute: Be a good person, but dont try to prove it.. .Gud noon...."
"1395","spam","For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
"1396","ham","Are you wet right now?"
"1397","ham","I wonder if your phone battery went dead ? I had to tell you, I love you babe"
"1398","spam","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
"1399","ham","We still on for tonight?"
"1400","ham","Gud mrng dear have a nice day"
"1401","ham","Water logging in desert. Geoenvironmental implications."
"1402","ham","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
"1403","ham","When are you guys leaving?"
"1404","ham","Shall i come to get pickle"
"1405","ham","K... Must book a not huh? so going for yoga basic on sunday?"
"1406","ham","Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?"
"1407","ham","No da. . Vijay going to talk in jaya tv"
"1408","spam","Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226."
"1409","ham","Do u noe wat time e place dat sells 4d closes?"
"1410","ham","Its ok my arm is feeling weak cuz i got a shot so we can go another time"
"1411","ham","Full heat pa:-) i have applyed oil pa."
"1412","ham","Come to medical college at 7pm ......forward it da"
"1413","ham","jay says he'll put in  #"
"1414","ham","Thanks for looking out for me. I really appreciate."
"1415","ham","Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply.."
"1416","ham","Only saturday and sunday holiday so its very difficult:)"
"1417","ham","Auntie huai juan never pick up her phone"
"1418","ham","Aight, I'll ask a few of my roommates"
"1419","ham","She.s find. I sent you an offline message to know how anjola's now."
"1420","ham","Yo do you know anyone  #  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night"
"1421","ham","Merry Christmas to you too babe, i love ya *kisses*"
