Hotel_Name_City,Review_Title,Review_Overall_Rating,Review_Date,date_of_review,Review_Content,Medium_of_Review,Month_of_Visit,Review_Type,Rating_Value,Rating_Location,Rating_Sleep_Quality,Rating_Rooms,Rating_Cleanliness,Rating_Service,Reviewer_Name,Reviewer_Location,Total_Reviews_by_Reviewer,Total_Hotel_Reviews_by_Reviewer,Reviews_in_Cities,Total_Helpful_Votes,Helpful_Votes_this_review,Room_Tips,Response_to_Review,Response_to_Review_Date,Review_collected_in_partnership,Page_URL
Hotel Shreenath Palace Jaisalmer,“Not just visiting a historic monument - sleeping in one!”,4,11-12-2011,11/12/2011,There is apparently a lot of debate (controversy) about staying in the fort; so much so that Lonely Planet doesn't review hotels and restaurants there. I don't agree with this - these people have to make a living as well - so we booked a room here without regret. We didn't regret our decision afterward either. The hotel is quaint and historic. The kids loved it from the first moment - they said it was like being in an Indiana Jones movie. Plus; the doors were their size. Adults have to be very careful of this; especially the first night trying to get to the bathroom. The owners (a father and son team) were very hospitable; and the location was perfect. The only criticism I can think of was that there were small details that somewhat spoiled the experience - liked exposed wires hanging from the ceiling and things like that. I understand that it is hard to make a hotel out of a 450-year-old building; but the experience would be much better for travellers if they tried a little harder to cover some of these things up.,via Web,Mar-11,with family,5,5,5,4,4,5,JeffinPrague,"Prague, Czech Republic",72,27,37,7,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r120485527-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“the highlight of our trip”,5,10/31/2011,10/31/2011,Absolutely amazing place to stay. Rakesh said treat this like your home and he meant it; nothing was too much trouble from moving rooms when the air con failed; taking me to the ATM on his motor cycle; spending the night looking at three albums of a recent family wedding such genuine and friendly people. We also had a great evening in conversation with the owner about our respective families and grandchildren. Brilliant i can't speak highly enough of the staff and the place.Raj. Rakesh and Hundu; thank you for making our stay special!,via Web,Oct-11,as a couple,5,5,5,5,5,5,brewerboy,"Tamworth, United Kingdom",25,16,18,2,NA,Room Tip: All of them are fantastic and excellent value for money but the stairs are steep,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r119967576-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“A friendly; welcoming hotel”,4,08-10-2011,08/10/2011,We stayed at this hotel for 2 nights. We found it comfortable and the staff very helpful. Our room was large with one king size bed. The hotel is small and atmospheric and all the walls are made from the same sandstone as the fort. The hotel was clean but lighting was poor on the stairs and door frames are low which we were warned about. There is no restaurant and food inside the fort can be expensive so we usually had to walk for about 10 or 15 minutes down to the town for breakfast and lunch which we did not mind but it was very hot and it was a steep uphill walk back to the fort. This might not suit older people or those with a disability.,via Web,Jul-11,with friends,5,NA,4,NA,5,5,nellygiddy,Dublin,58,25,26,3,1,Room Tip: We found some of the expensive hotels outside the fort much cheaper to eat in than restaurants of lo...,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r116520188-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“by far the most authentic; charming and luxurious place i've stayed in in india”,5,04-11-2011,04/11/2011,From the warm and gracious owner and his son; who still live in this 450 year old haveli; to my charming room and bathroom; great service and wonderful rooftop view; my experience in this place has been amazing. I'd recommend this place to anyone; and can only hope that you are as transported in time as i was; and truly feel like a guest in someone's home. I'm a conservator for historic buildings; so this was right up my alley. Jaisalmer is also the only living fort in India!,via Web,Mar-11,solo,5,5,5,5,5,5,tpaterno,"New York City, New York",1,NA,NA,NA,NA,Room Tip: book in advance!,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r103634959-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Mixed Review”,3,04-10-2011,04/10/2011,"As many have mentioned; the owner of this hotel is very friendly and tries to be as helpful as possible. I was sick upon arrive and the whole staff was helpful and caring-even fetching hydration salts; biscuits; and water for me. The one staff issue we did have was that the young man on staff stares at the female guests. At one point; we sat waiting for our friend to finish checking her email and he sat and stared at us for a good 20 minutes. It was awkward to say the least. Hopefully some feedback to the owner will help this issue. The rooms are beautiful but need to be kept cleaner since the hotel is in the dusty; dirty fort. Beds were very hard and we didn't have hot water for the two nights we stayed. My room stayed comfortable but my friends' room with a vaulted ceiling got quite hot. They were also a little unnerved by the fact that the staff room on the floor above them opened up into their room. With the problem with the staff staring at us; we weren't sure if there was any \peeking\"" going on or not. Overall; the owner is a good guy who has a beautiful home he has opened up to travelers. His kindness overshadows the downfalls of this place. Would I stay there again? Probably not; but I appreciate the experience I had.""",via Web,Apr-11,with friends,3,4,3,3,3,3,chagnes,"Abu Dhabi, UAE",12,8,9,9,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r103482416-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Very homely”,4,02-08-2011,02/08/2011,This hotel is in an excellent location; right in the midst of the key attractions within the fort. The hotel staff are very warm and make you feel at home. Would definitely recommend staying here if you want to experience a traditional way of living.,via Web,Jan-11,with friends,5,5,1,5,4,5,Dixan,UK,3,3,3,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r95877758-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Beautiful rooms and VERY nice people”,4,02-05-2011,02/05/2011,Stayed here for 2 nights. Raj and company do their best to make you feel comfortable. We stayed in the blue Mughal room. They brought breakfast to us in our room each morning. The rumor is that there are several shady hotels in the fort; but this one is not. The staff really go out of their way to make you feel at home. If staying in the fort; this is a great choice. The only minor complaint I have is that the mattress was a little uncomfortable; but I got used to it after 1 night.,via Web,Jan-11,as a couple,5,5,3,5,5,5,negramontana,"Miami Beach, Florida",23,14,21,2,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r95601550-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Great Stay in the centre of the fort - atmosphere and nice rooms”,5,01-07-2011,01/07/2011,Stayed with my wife and sister. We had the maharaja and the Mughal Room. Both rooms are very spacious; have a great atmosphere and were very clean. The hotel is in the centre of the fort - that's where you want to be when in Jaisalmer. They picked us up at the railway station. We booked a camel tour trough them and it was very nice. We had a private tour just for the three of us and had 1;5h camel ride (and no other tourists were to be seen or heard) and a nice night around a log fire. The owner is very nice and is really looking for his guests to have a good stay. When in Jaisalmer I would always go the again.,via Web,Dec-10,as a couple,4,5,4,4,4,4,Darmstadt98,Darmstadt,16,16,14,1,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r92074184-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Best hotel on Fort”,5,12/26/2010,12/26/2010,Very nice view of the entire city and gr8 ambience. would recommend visitors to stay and enjoy..... its eccentricity...No wonder jaisalmer is the only city where so many families live on FORT.,via Web,Nov-10,with family,5,5,5,5,5,5,trip304556,"Chennai, India",1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r90706295-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Excellent Haveli experience - such beautiful rooms”,5,11/22/2010,11/22/2010,We stayed three nights here in Nov 2010; two nights in the RED room and 1 night in the BLUE room (sorry; forgot the actual names). The rooms are very well decorated and give a genuinely unique experience in this part of Rajastan. The prices are not cheap (about $75-80 USD per night) but this is worth it for 2 or 3 nights if you are visiting Jaisalmer. The location is deep within inside the fort making it very easy to visit the fort museum and nearby Jane temples; both well worth spending some time. The staff are friendly and not pushy which is important I think in India. They were always available to answer questions and help give information for further transportation and purchase items but they never tried to push their own camel safaris or other services. Overall; we were very happy with this hotel; happily recommend it as a genuinely unique travel experience and will certainly return to this very establishment if/when we ever return to Jaisalmer.,via Web,Nov-10,as a couple,5,5,3,5,5,4,BradJill,"Hong Kong, China","3,094",110,140,7,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r87826446-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Living like The Royalty”,5,11-03-2010,11/03/2010,We stayed three nights in this beautiful Haveli. Our experience was the best! We were treated like family; in fact we were invited to Raj's son's second birthday. Omji; my newly adopted younger brother was so kind; they look after you as honored family; not paying guests. We wouldn't have missed the birthday party for anything; a beautiful warm; welcoming family. What a fabulous experience! The room was beautiful; the staff; Hindu especially; were incredible; could not have been more helpful or nice. What a unique; rich experience; which is why my husband and I travel. I hate to admit this but I cried upon leaving. If you are not interested in becoming absorbed in the rich; warm; elegant history of Jaiselmer; don't stay here but I promise you; it will be your loss.,via Web,Oct-10,as a couple,5,5,5,5,5,5,Furmommy2010,"Dana Point, California",52,32,37,5,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r85850166-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Great Place/Palace!”,5,10/24/2010,10/24/2010,I hightly recommend this hotel. You will feel like a maharajah/marani :)Great location; great service. I will go again!,via Web,Oct-10,with friends,5,5,5,5,5,5,BeneFS,Toulouse,2,NA,2,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r84701743-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Excellent place and excellent customer service!”,5,8/31/2010,8/31/2010,The hotel was lovely - really old style india. The building was beautiful and we went up onto the roof at night. The manager and the staff were excellent. The staf couldn't do enough for you and got us extra fans; water at night towels etc. The manager was also lovely - arranging for us to visit his fathers school. He also paid for the tuk tuk to and from the station. It seemed he was more interested in us having an enjoyable stay than then money. Excellent location - right in the fort.,via Web,Aug-10,with friends,5,5,5,5,4,5,1982loulou1982,"Bristol, United Kingdom",7,7,7,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r77718797-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Stay in Royal Charm”,5,6/25/2010,6/25/2010,Location - Inside the Fort; Near the Jain Temple (Excellent)Service - Homelike (Excellent)Value for moneyRooms - Hotel is a old haveli; Rooms have been maintained to have old glory and grandeurSleep Quality - Very comfortableHotel staff is courteous and helpful,via Web,Oct-09,as a couple,5,5,5,5,4,5,saurabh_khandelwal,Mumbai,3,3,3,3,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r68610751-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“very nice welcome”,5,06-03-2010,06/03/2010,I was very well welcomed in this hotel which is also very well situated in the town. The owner (as well as his family and staff) is very concerned with the well being of people staying at the hotel and the decoration of the rooms is very nice. Thanks again.,via Web,Mar-10,solo,NA,NA,NA,NA,NA,NA,virbl,france,1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r66328273-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“A grim experience at the Palace”,2,4/27/2010,4/27/2010,The Shreenath Palace Hotel was the worst place we stayed during our 2 week trip around northern India .Whilst the hosts are charming and helpful; and the building itself is part of an ancient fort - the two do not successfully combine to create a comfortable hotel.We stayed in the ‘Maharajah Suite’ on the second floor – and earlier photos posted on TripAdvisor conceal much - for example. - a commercial air cooler only 300mm from the bedhead; - bathmats used in lieu of pillowcases; - no bathroom toiletries except a collection of used soaps - presumably left by other guests; - towels/toilet roll placed in bedroom as nowhere to locate in bathroom except on the floor ( the available shelf space being used for toilet cleaning tools !).- dire view thro' ill-fitting (probably original) bedroom 'window' shutter - no glass fitted !.and not least of all - an absolutely rock-hard bedAccess to the hotel is by foot or ‘tuk-tuk’ thro’ very narrow lanes which are also inhabited by a mixture of dogs and cattle ! !……(the nearest taxi access is almost 1km away)In summary – despite the hotelier’s efforts - a thoroughly grim experience !.,via Web,Apr-10,as a couple,2,2,1,2,2,3,1323PL,Manchester,17,17,15,1,2,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r62572357-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“We loved it”,5,4/25/2010,4/25/2010,Where to start? The room was royal; with spacious comfortable beds (I have a bad back; so a hard mattress is heaven for me; when I find a soft one I have to put it on the floor to survive the night) and part of it was made into a marble bathroom. The bathroom was a bit chilly in the mornings because it has no glass windowpanes; but it was enough to make sure you had your shower in the afternoon; when it was sunny. There were pigeons on the arched windows; and you had a choice of a number of wonderful views. Such peace and beauty that cannot be conveyed. The owners were; as also written by other people; really kind and polite; they were helpful only when needed and didn't intrude in the least when not needed; always ready to share useful tips (on how much things should cost outside; for instance). They never ever pressured us to buy a camel tour or anything from them. When my daughter and I were sick because of flies on the food in a restaurant; the owner came up with fruit and biscuits; knowing we hadn't been out for a couple of days and probably were hungry. I mean; such a sweetie!And the price was incredible value. I would definitely go back there. Maybe there are other havelis as beautiful as this one; so one is tempted to go and experience another one next time; but I would surely consider going back to the same one; just because I know these people; and this makes a difference.,via Web,Jan-07,with family,NA,NA,NA,NA,NA,NA,irmar,Athens,15,6,8,1,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r62355334-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Wonderful stay at the dream city of Jaisalmer”,5,4/22/2010,4/22/2010,Our stay at the Shreenath Palace Haveli in Jaisalmer has been a very pleasant one. Raj and his family made our stay unforgettable. The dates coincided with my birthday and they did everything - from sending bowls of roses to getting me a birthday cake and presents - to make me feel at home. The rooms are designed to give the guests a taste of how it was like to be maharajas and maharanis :-) I strongly recommend this hotel to anyone planning a stay at Jaisalmer.,via Web,Feb-08,with friends,5,5,3,5,5,5,Iseuth,Istanbul,1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r62145745-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Feel like a Maharaja for a few days.”,5,4/13/2010,4/13/2010,"There are many varying opinions on \staying inside the Fort\"" versus \""staying outside the Fort\"". We (whether it be right or wrong) fell in love with Hotel Shreenath Palace; and stayed for 2 nights in November 2009 (Maharaja Room). Built in the 15th century; descendants of the original family still live here today! The owner is a delightful man and very willing to share with you his wealth of knowledge of the local area. The haveli is intimate (5 guest rooms); features many intricate carvings and is a treasure trove of gorgeous archways; delicate alcoves; varying sized balconies and winding staircases. Our room overlooked the nearby Jain Temples.Despite the plethora of shops selling camel safaris and Rajasthani handcrafts; it's hard not to be enchanted with Jaisalmer. The imposing Fort rises magically like a multi-turreted sand castle. It is a spectacular sight during the day; but when floodlit at night; it take on a whole new appeal. Jaisal Italy offers brilliant views from their rooftop restaurant; and they serve excellent pizzas too! An intricate web of narrow streets meander their way through the insides of the Fort. The sacred cow wanders freely. Take care as you approach corners; you may run into a set of horns or there may be a fresh cow pad waiting for you to step in! Make sure you visit the Old City; in particular; several of the lavish sandstone havelis. We visited Khuri Sand Dunes (approximately 40km southeast of Jaisalmer) for a sunset camel safari. Do your homework regarding \""fair and reasonable price\"" before you arrive! There are plenty of operators willing to overcharge!! We had a very pleasant experience though you are not alone. The night we visited; there were possibly 30-50 other tourists also experiencing the dunes. We travelled alone (not as one big group) but you can still see and hear the other people on the dunes. From the research I did; Khuri is much less touristy than Sam Sand Dunes (also 40km from Jaisalmer but different direction); so you can expect even a less personal experience there. Khuri is a small village where many of the locals live in mud huts with straw thatched roofs.""",via Web,Nov-09,as a couple,5,5,5,5,4,5,Gypsy1967,"Melbourne, Australia",21,18,19,2,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r61176988-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“the most beautiful place to stay”,5,2/22/2010,2/22/2010,Upon arrival; we were given flower garlands and taken to the most beautiful room I've ever seen which held me in wonder for the 2 nights we spent there. Perfect location for checking out Jaisalmer. We were brought chai each morning and our lovely hosts arranged a camel trek for us; as well as looking after our bags on our day of departure and allowing us to return to the hotel before our train in the evening to have a sit down and a shower before leaving the town; even though we had already checked out! You must stay at this haven of a hotel,via Web,Feb-10,as a couple,5,5,4,5,5,5,bethan542,Bristol,1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r56796458-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Like a real palace for the place and for the way the owners make you feel”,5,2/19/2010,2/19/2010,The family could not be nicer and more welcoming in a very natural way. The house and the rooms are beautiful; colorful decoration; very well maintained. They helped us with everything we needed and had great details with us. Located inside of the fort; streets with authentic ambiance. Right next to the spectacular Jain Temple. Could not think of a better place for Jaisalmer.,via Web,Jan-10,with friends,4,4,4,5,4,5,Dana75,Madrid,8,6,7,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r56516512-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Wonderful Experience and Valaue”,5,01-11-2010,01/11/2010,We had the 2 suite rooms on the top floor for my wife and myself and our 3 young children. Service and arrangements were excellent. No complaints. And staying right in the fort is a once in a lifetime experience. The owners are just outstanding people. We couldn't have been more pleased. But being 500 years old; it is not the most comfortable hotel in the world (very hard beds).,via Web,Dec-09,with family,5,5,NA,5,2,4,TravelAgent34,"Napa, California",98,28,44,5,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r53224459-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Beautiful rooms and great location!”,5,01-09-2010,01/09/2010,"We only spent one night in this hotel but all four of us (two couples) appreciated our stay! The rooms are beautiful; the building also (a haveli). There are pillows on the floor to sit and read; next to the windows with view on the Jain temples. The mattress was very hard but that was the case in most of the hotels we stayed in during our two week vacation in Northern India. We were nicely surprised by the kindness of the owner and of Hindu; the person that does everything in there! He came all the way outside the fort to help us carry our luggage and was always there when we needed something. The owner offered us breakfast in the morning and a silk shawl to every one of us \a new year's present\"" as he said. Its a pitty the roof is not available to sit or eat. Hindu showed us the rooftop area when we took the rooms but there is no protection and going up there at night is not recommended...""",via Web,Dec-09,with friends,4,5,NA,5,4,4,vanouts,Toulouse,3,NA,3,1,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r53030954-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Unforgetable and great value for money”,5,11/29/2009,11/29/2009,"The first impression of the location; the hotel and the rooms was \wow!\"" (Located in the middle of the fairy-tale Fort Jaisalmer in an enchanting old building). The impression at the end of our stay was even better. The owners are so personal and hospitable; they satisfied any of our wishes and were so caring about us. The breakfast impressed me also. They have a very good choice (considering overall Indian standard) which was very deliciuous even for us; Europeans. The owner organized a camel safari for us and it was really charming - sunset in the dunes and the dinner at the fire; surrounded by sand and the camels. So simple things can taste so good if you are at the right place with right people!!!""",via Web,Nov-09,with friends,5,5,NA,5,5,5,KarineB52,"Stuttgart, Germany",6,6,6,3,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r50273890-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“One of the most memorable trips”,5,11-07-2009,11/07/2009,We travelled to Jaisalmer with a big group of family & friends. The group mainly comprised of senior citizens and hence while planning the trip; we were very apprehensive about the hotels that we would choose. Shreenath Palace is a quaint hotel inside the Fort and the hospitality that we experienced was something we will never forget. For the 3 days that we stayed; the hotel was almost like a home to us. Omji (the owner) and Raj (his son) are fantastic hosts and they ensured that all of us were comfortable throughout our stay.,via Web,Oct-09,NA,5,5,NA,5,5,5,Neelambari,Gurgaon,1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r48682624-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Great Place; Friendly and Homely environment”,5,11-06-2009,11/06/2009,Wonderful place for anyone who will like to stay in a warm; friendly and homely environment. Situated right inside the Jaisalmer fort and at stone throw-away distance from the palace and Jain temples; this is the best place that one can get. Clean; no standard cookie cut type hospitality is what I will describe as the place.The best part are the owners who got extra mile to ensure that the guests are comfortable and all reasonable requirements are met.Additional benefit is that the owners have been natives of the place and practically know every person that traveler will require.And - for all adventurous diners; do try their food. It has lots of Indian cow ghee....as happens in Rajasthani food...yet is tasty. We did not feel any guilt of having consumed so much. The owners wife specially cooked breakfast herself and the taste was excellent.Lastly; it is a heritage havelli; with minimum possible alterations to the building.,via Web,Nov-09,with family,4,5,NA,4,5,5,Arvind-Pooja,"Singapore, Singapore",21,10,12,1,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r48609628-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Very Homely & Royal Rooms”,5,10/16/2009,10/16/2009,"Located inside the Jaisalmer fort; Hotel Shreenath Palace alone is responsible for making our trip to Jaisalmer so enjoyable. The owners were very nice and friendly; we felt like we are staying at home away from home. The room was just like what we have always wanted - Big rooms & royal Interiors. The hotel is actually a Haveli in its original form. We were traveling with our two kids; 6yr & 7yr old and they had enough space to play. We were lucky to get this accommodation just before starting of rush season. They also have a restaurant just outside fort's gate and the food was tasty and vegetarian. It was sad we had to leave. It was for few days but it seems that we knew them for so long.In all true sense they believe as mentioned in the Taittiriya Upanishad \Atithi devo bhava\""""",via Web,Sep-09,with family,5,5,NA,5,5,5,sumitbajaj,Kolkata,13,6,8,8,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r46993630-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Beyond great!”,5,09-08-2009,09/08/2009,The Shree Nath Palace was one of our best experiences during our trip to India. The rooms were very nice; especially the large ones; with beautiful Indian furniture and decorations. The location is unbeatable. But most importantly; the hospitality was OUTSTANDING (better; in fact; than some five star hotels that I have stayed in); and the people were exceptionally nice; especially the owner. Although they don't have their own restaurant; they delivered a meal from a local restaurant to our room. And they even went out of their way to retrieve my digital camera; which I had accidentally left in a taxi (they called the taxi driver at home). I can't say enough good things about this place.,via Web,Dec-08,as a couple,5,5,NA,5,4,5,JACTLosAngeles_CA,"Los Angeles, CA",6,3,4,1,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r40221193-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Most amazing rooms I've ever seen; great hospitality”,5,05-01-2009,05/01/2009,This was the most amazing hotel I've stayed in. The owners live on the ground floor and they only have about seven very large rooms in the building so its more like a homestay than a hotel. The service though is excellent - the rooms; as I said are the best I've ever seen and easily worth five times the amount I paid for one night if they were in a five star hotel. The bathrooms are large; clean and fitted with modern amneties. The hosts are very welcoming; knowledgeable and a charm to make conversation with. There is no rooftop restaurant but there is one next door and is very good. The hotel rooftop does offer very very good views of the Jain temples and the king's palace. You can also see miles into the start of the desert from this rooftop. Overall; I would like to rate this as highly as I possibly can and there is absolutely nothing wrong that I can find there. Our host; Raj hired an auto-rickshaw and came to pick us up from a restaurant in another part of the city at close to midnight. This is an absolute recommendation. Anyone who wants to stay in a large; beautiful; traditionally decorated room in a 400 year old 'haveli' with top class cleanliness and top class hospitality for amazingly affordable rates should definitely check out Shreenath Palace as their first option.,via Web,Apr-09,with friends,5,5,NA,5,5,5,GaneshG,"Pune, India",6,3,3,5,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r29148924-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“The best place in a 2 weeks trip with the Imperial Hotel in New Dehli”,5,4/24/2009,4/24/2009,Shreenath Palace in Jaisalmer is definitely the best hotel we have had in this trip in Radjastan; with the exception of the Imperial Hotel in Dehli. It has only 5 rooms but they are very nicely decorated with an excellent taste. You will not regret this choice. Omji; our host; is a wonderful caracter that you should not miss to enjoy.Best regards to Omji and his familyJean-Michel and Patrice,via Web,Mar-09,with friends,5,5,NA,5,5,5,Epiqure,Munich,1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r28676329-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
Hotel Shreenath Palace Jaisalmer,“Best place we stayed in Rajasthan!”,5,4/20/2009,4/20/2009,What a gorgeous and special place to stay. Inside the fort walls is this beautiful little haveli (only 4 rooms). The room was all sandstone carvings and space with views over the Jain temples. Shreenath Palace was our favourite stay in 3 weeks; so much character and a great place to hang out in the heat of the day. No restaurant but that's no problem with so many places around (Jisal Italy at the main fort entrance is terrific if you want something other than Indian food). Also; if you are doing the overnight train back to Delhi (Jaipur or Jodphur) the restaurant next door to Shreenath will make a dry curry and paranthas takeaway; yum! We can't recommend this place enough. The only reservation is the impact that tourism is having on the fort.,via Web,Apr-09,as a couple,5,5,NA,5,5,5,kiwis0nt0ur,"Auckland, New Zealand",8,8,8,6,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g297667-d634711-r28439955-Hotel_Shreenath_Palace-Jaisalmer_Rajasthan.html#CHECK_RATES_CONT
